#Category;Date;Start;Stop;Comment
Mechanical  Inspection;2024-08-12;10:00;11:15;
Accumulator Inspection;2024-08-12;10:00;11:45;
Mechanical  Inspection;2024-08-12;11:30;12:45;
Accumulator Inspection;2024-08-12;12:45;14:30;
Mechanical  Inspection;2024-08-12;13:45;15:00;
Accumulator Inspection;2024-08-12;14:45;16:30;
Mechanical  Inspection;2024-08-12;15:15;16:30;
Mechanical  Inspection;2024-08-12;17:00;18:15;
Accumulator Inspection;2024-08-12;17:00;18:45;
Mechanical  Inspection;2024-08-12;18:30;19:45;
Mechanical  Inspection;2024-08-13;09:00;10:15;
Electrical  Inspection;2024-08-13;09:00;10:45;
Accumulator Inspection;2024-08-13;09:00;10:45;
Mechanical  Inspection;2024-08-13;10:30;11:45;
Electrical  Inspection;2024-08-13;11:00;12:45;
Accumulator Inspection;2024-08-13;11:00;12:45;
Mechanical  Inspection;2024-08-13;12:00;13:15;
Electrical  Inspection;2024-08-13;13:45;15:30;
Mechanical  Inspection;2024-08-13;14:15;15:30;
Mechanical  Inspection;2024-08-13;15:45;17:00;
Electrical  Inspection;2024-08-13;15:45;17:30;
Mechanical  Inspection;2024-08-13;17:30;18:45;
Electrical  Inspection;2024-08-14;09:00;10:45;
Electrical  Inspection;2024-08-14;11:00;12:45;
Lunch                 ;2024-08-12;11:45;11:46;
Lunch                 ;2024-08-12;12:45;12:46;
Dinner                ;2024-08-12;18:45;18:46;
Dinner                ;2024-08-12;19:45;19:46;
